title,body,field_image,field_section_id,field_code,field_delivery_method,field_hours,field_credits,field_remarks
"Basic Operation Research","<p>Suspendisse hendrerit mattis ligula. Fusce sit amet sem turpis. Quisque mattis ante leo, id porta turpis facilisis quis. Nam dignissim tincidunt mauris vel mattis. Praesent sit amet erat nec ipsum vehicula congue tristique ut est. Suspendisse at dui auctor, facilisis nisl id, convallis turpis. Maecenas eu sollicitudin odio. Praesent fringilla pharetra lectus.</p>",,"Department of Computer Science",DDP063,88410bc5-0eea-8034-f5d3-a4615dd494a6,3,3,
"COBOL Programming I","<p>Aenean bibendum urna arcu, eget facilisis magna luctus eget. Sed sit amet purus nibh. Maecenas gravida lectus ut nibh cursus, consequat fringilla leo placerat. Morbi venenatis tincidunt ante, in fermentum sem aliquet a. Mauris interdum, enim eget mattis posuere, odio lacus sollicitudin erat, sed pharetra mauris dolor vel neque. Nam ultrices ipsum nec ornare imperdiet. Proin rutrum ante et dui ullamcorper, eget vehicula diam ornare. Ut mattis lacus ligula. Vestibulum consectetur, magna nec gravida sodales, diam justo sodales lorem, sit amet lacinia libero libero quis magna. Nulla vel lectus sollicitudin, gravida est nec, tempus eros. Donec aliquam at est a tincidunt. Vivamus molestie tellus magna. Interdum et malesuada fames ac ante ipsum primis in faucibus. Suspendisse cursus, sem vitae scelerisque imperdiet, sapien turpis fermentum ligula, eget luctus tortor nulla quis eros. Sed ac lobortis justo.</p>",,"Department of Computer Science",DDP021,88410bc5-0eea-8034-f5d3-a4615dd494a6,3,3,
"Current Trends in Data Processing","<p>Praesent euismod tortor quis urna pulvinar imperdiet at ac magna. Etiam rhoncus neque sed purus tempor, sit amet dictum purus lobortis. Quisque placerat, sem at porta pretium, mauris libero pretium purus, vitae ultrices ligula nisi sed metus. Nulla quis arcu porttitor, aliquam orci quis, tristique leo. Nulla eget ipsum dapibus libero dignissim posuere. Cras elementum lorem sed nisl posuere imperdiet. Sed laoreet purus id elit semper consectetur eget ut eros. Curabitur adipiscing mollis turpis sed euismod. Nam tellus elit, pretium sit amet condimentum et, convallis quis augue. Suspendisse dictum lacus eu odio sollicitudin cursus. Quisque lobortis ultrices nulla at dictum.</p>",,"Department of Computer Science",DDP061,88410bc5-0eea-8034-f5d3-a4615dd494a6,3,3,
"Economics and Business Methods","<p>Morbi accumsan, felis id vulputate pulvinar, eros urna dictum risus, at dictum nunc nunc et purus. Curabitur eget tortor tortor. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Fusce ultricies augue at orci varius lacinia. Nulla ipsum purus, molestie ac enim rhoncus, euismod adipiscing leo. Praesent mattis porttitor elit id pulvinar. Nullam scelerisque pretium tortor ac scelerisque. Morbi gravida lobortis diam, eget commodo justo faucibus a. Praesent diam orci, pellentesque nec rutrum a, ornare id ipsum. Maecenas feugiat tincidunt sapien, vitae varius nibh tincidunt ac. Aliquam sed bibendum ipsum. Quisque quam quam, mollis nec metus eget, malesuada aliquet lacus.</p>",,"Department of Computer Science",DDP006,88410bc5-0eea-8034-f5d3-a4615dd494a6,3,3,
"Economics and Business Methods II","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. In nec eleifend nibh. Sed semper ante vel auctor tincidunt. Praesent id ornare nisl, sed lobortis est. Sed accumsan pellentesque dolor, a fermentum lorem pharetra sed. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Vivamus fringilla tellus enim, blandit lacinia velit porta sit amet. Ut pulvinar dui vitae urna lacinia, ultrices ultricies diam euismod.</p>",,"Department of Computer Science",DDP026,88410bc5-0eea-8034-f5d3-a4615dd494a6,3,3,
"Elementary Mathematics","<p>Nunc quis venenatis enim. Proin sed rutrum nunc. Suspendisse hendrerit justo at tortor gravida, sit amet convallis erat placerat. Sed nec vehicula lacus. Nam sagittis neque ut tempus cursus. Integer eget orci at est elementum mollis. Suspendisse luctus, ante ut facilisis ornare, orci quam rhoncus nisl, in aliquet risus sapien ac neque. Mauris feugiat, neque nec semper ultrices, felis felis suscipit urna, a euismod nisi purus sed erat. Nam eu rhoncus leo.</p>",,"Department of Mathematics",DDP003,88410bc5-0eea-8034-f5d3-a4615dd494a6,3,3,
"Elementary Statistics","<p>Morbi vel mollis mi. Praesent viverra, nibh non aliquet adipiscing, sapien est dictum diam, in commodo purus felis nec lorem. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Vivamus diam est, lacinia luctus arcu ac, porttitor malesuada nibh. Aliquam non lacus orci. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Nulla in euismod mi. Integer congue luctus lacinia. Vestibulum id lorem tempus, ultrices mauris sed, sagittis massa. Pellentesque eget orci adipiscing erat rutrum pretium in sit amet eros. Donec eleifend ligula lectus, ac ornare sapien tristique eget. Nulla pulvinar augue velit, a mattis mauris fermentum ac. Etiam porta nunc ut enim fringilla ornare. Cras blandit libero ac fringilla gravida. Fusce porttitor lobortis elit, quis dictum felis scelerisque et. Mauris vel luctus tortor.</p>",,"Department of Mathematics",DDP023,88410bc5-0eea-8034-f5d3-a4615dd494a6,3,3,
"Final Project","<p>Sed molestie laoreet nibh, ut ultricies libero blandit sed. Nam hendrerit urna eu euismod fermentum. Nulla scelerisque quis dui in scelerisque. Aliquam in tortor accumsan, interdum sapien quis, sodales magna. Quisque quis arcu vel orci ultrices sollicitudin viverra et justo. Ut ipsum augue, dapibus interdum quam eu, eleifend commodo velit. Nunc cursus bibendum nibh, quis laoreet sem laoreet at. Sed dictum, ante sit amet porta tempor, est quam hendrerit arcu, vel sodales nisi eros a dui. Nam volutpat, erat nec tempor laoreet, eros nibh sollicitudin tortor, in condimentum erat enim in sapien. Ut lacinia dignissim feugiat. In egestas ullamcorper viverra. Pellentesque ultrices eros feugiat purus interdum, quis laoreet purus sagittis. Nulla a tellus dignissim, mattis mi sed, bibendum justo. Suspendisse potenti.</p>",,"Department of Computer Science",DDP064,72ce8ae0-9f01-4be9-9b06-6d48c5ec2a47,6,6,
"Information Structure Representation","<p>Aliquam id varius ante, nec accumsan metus. Suspendisse suscipit diam nec felis rhoncus malesuada. Nulla faucibus nunc sit amet enim euismod eleifend. Etiam lacinia, augue ut aliquet sagittis, nisl ipsum bibendum justo, quis blandit nunc nulla nec risus. Nulla aliquam elit nulla, in gravida purus elementum vehicula. Proin venenatis neque id urna vestibulum bibendum eget eu nisi. Donec ut aliquet magna. Sed suscipit leo a nisl venenatis, eget condimentum nisi feugiat. Curabitur iaculis semper porttitor. Phasellus condimentum tristique est, sit amet dignissim libero mattis vel.</p>",,"Department of Computer Science",DDP024,88410bc5-0eea-8034-f5d3-a4615dd494a6,3,3,
"Introduction to Assembly Language","<p>Nullam sed convallis justo. Integer arcu massa, commodo id ligula quis, sodales porttitor metus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Curabitur tortor nulla, porttitor non viverra eu, euismod non lectus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Fusce quis consectetur ligula. Sed viverra tempor sem sed venenatis. Proin eros ante, vulputate a eleifend vel, vulputate vel purus. Sed consectetur nunc at sodales pharetra. Quisque felis eros, dictum sed feugiat ut, malesuada et quam. Etiam venenatis, mauris rutrum cursus pellentesque, lacus ipsum pulvinar odio, sit amet dapibus erat metus non nisi. Suspendisse scelerisque et nibh quis dignissim. Nam quis elit ipsum. Ut luctus rhoncus pulvinar.</p>",,"Department of Computer Science",DDP046,88410bc5-0eea-8034-f5d3-a4615dd494a6,3,3,
"Introduction to Computational Maths","<p>Quisque sollicitudin nunc in tincidunt volutpat. Quisque eu metus sem. Vivamus eu lacus dapibus, porttitor felis vitae, accumsan nulla. Curabitur vel nunc sit amet metus ullamcorper iaculis sed eu arcu. Maecenas pharetra vel odio eu suscipit. Cras adipiscing dolor at blandit placerat. Proin dignissim commodo nulla non vestibulum. Nunc non ante nisi. Vestibulum eget lectus a nulla posuere feugiat. Vestibulum ultricies tortor lorem, non ultricies metus placerat id. Mauris viverra ante mauris.</p>",,"Department of Mathematics",DDP044,88410bc5-0eea-8034-f5d3-a4615dd494a6,3,3,
"Introduction to Computer Processing","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent ac est metus. Quisque consectetur dictum nunc eget condimentum. Ut dolor enim, varius nec sollicitudin a, dapibus ac erat. Proin in eros velit. Nam hendrerit, ipsum nec imperdiet gravida, sem dolor auctor ligula, vel tempus lorem est nec nibh. Vestibulum eget consequat nunc, vitae ullamcorper nibh. Maecenas ac ligula consectetur, cursus lectus id, venenatis nisi. Suspendisse ut sapien eu nulla pharetra tincidunt. Curabitur a odio ipsum.</p>",,"Department of Computer Science",DDP001,88410bc5-0eea-8034-f5d3-a4615dd494a6,3,3,
"Introduction to Computer Programming","<p>Aliquam lobortis vitae neque eu consectetur. Donec vestibulum nisi mattis ligula dictum aliquam. Donec id est et ipsum rutrum consequat in nec sapien. Quisque luctus velit lectus, eget fermentum ligula mattis ac. Aliquam sed placerat magna. Proin commodo tortor lectus, vitae luctus diam bibendum ut. Vivamus in urna sit amet lectus feugiat convallis ac a nulla. Quisque libero erat, adipiscing ut felis nec, iaculis commodo libero. Ut interdum non dolor sit amet vulputate. Suspendisse et dui non erat mattis dictum.</p>",,"Department of Computer Science",DDP002,88410bc5-0eea-8034-f5d3-a4615dd494a6,3,3,
"Introduction to Dbase Programming","<p>Praesent nec libero id nisi rhoncus iaculis a id metus. Suspendisse accumsan massa quis neque tempor laoreet. In sagittis orci orci, et viverra risus mattis sit amet. Vivamus consectetur velit quis mi faucibus venenatis. Cras eu mattis orci. Proin pellentesque quam ut nibh placerat aliquam. Mauris semper est faucibus est varius congue. Praesent vel turpis viverra tortor vehicula congue id tempus justo. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Maecenas tincidunt nisl eu nisl vehicula mollis. Aliquam rhoncus quis erat et tempus. Nam commodo, magna porta lobortis interdum, urna leo semper velit, at rhoncus orci felis at enim. Morbi porta iaculis placerat. Sed nulla est, ultrices id diam non, ornare tristique metus. Suspendisse facilisis elit est, adipiscing laoreet tortor fermentum nec.</p>",,"Department of Computer Science",DDP045,88410bc5-0eea-8034-f5d3-a4615dd494a6,3,3,
"Introduction to Fortran Programming Methods","<p>In hac habitasse platea dictumst. Quisque eget nibh pretium, gravida lacus pellentesque, vehicula mauris. Sed bibendum nunc sit amet augue sagittis eleifend. Sed accumsan, mi ut facilisis pretium, magna nunc condimentum nulla, ac tristique est enim sed sapien. Curabitur convallis volutpat orci sit amet consequat. Aliquam a nibh lectus. Quisque vehicula, quam eget feugiat pulvinar, nulla sapien viverra massa, eget tristique ligula sem sit amet ante. Cras eu adipiscing mauris. Sed imperdiet nulla sed urna condimentum, pulvinar porta tellus fringilla. Proin vulputate sapien magna, sit amet semper eros bibendum a. Vestibulum porta tortor non sollicitudin pretium. Aenean sit amet luctus sem. Sed suscipit ipsum ac nibh ultrices rutrum.</p>",,"Department of Computer Science",DDP022,88410bc5-0eea-8034-f5d3-a4615dd494a6,3,3,
"Management Practice","<p>Integer dolor sem, mollis et mollis vel, tincidunt quis quam. Sed a luctus odio. Aliquam semper lectus ut nibh sollicitudin, eu ultrices eros lobortis. Donec pellentesque consectetur pellentesque. Proin ac porta leo. Ut odio nisi, sagittis malesuada convallis elementum, venenatis id purus. Etiam id nunc vel ante dictum commodo ut et nisi. In sollicitudin leo at purus eleifend euismod. Suspendisse bibendum feugiat arcu id dignissim. Ut ultricies felis vel adipiscing dapibus.</p>",,"Department of Computer Science",DDP062,88410bc5-0eea-8034-f5d3-a4615dd494a6,3,3,
"Other Data Processing & Programming Methods","<p>Sed semper orci quis tempor ultricies. Duis sed ante rutrum, sagittis velit non, venenatis orci. Aenean sit amet tortor cursus, pretium sem ac, condimentum leo. Curabitur lectus ligula, vehicula et volutpat quis, convallis vel nisl. Suspendisse sed velit dui. Suspendisse in fermentum dui, eget fringilla libero. Mauris enim est, accumsan vel odio sit amet, tempor mattis mi. Phasellus ut luctus quam. Duis pulvinar sapien neque, non porttitor nunc ultricies in. Proin sit amet gravida urna, eu viverra nibh. Mauris turpis nisl, tincidunt et hendrerit vitae, vulputate eget nibh. Nunc vestibulum, sem sit amet tempus dapibus, mi magna laoreet orci, eget venenatis est risus id nisi.</p>",,"Department of Computer Science","DDP043 ",88410bc5-0eea-8034-f5d3-a4615dd494a6,3,3,
"Principles of Accounting I","<p>In at pulvinar enim, eu tempus felis. Duis magna lorem, bibendum vitae ipsum nec, porttitor interdum nibh. Nulla vestibulum iaculis eleifend. Duis vel semper lorem. Aenean vel nisi laoreet, rhoncus orci nec, mattis leo. Curabitur vestibulum at nunc nec tincidunt. Donec id placerat nisl. Vivamus nec condimentum mi, quis porttitor arcu. Vestibulum cursus ullamcorper ante, eget dignissim nisl semper eget. Aliquam erat volutpat. Duis orci purus, faucibus varius leo eu, sollicitudin cursus elit.</p>",,"Department of Computer Science",DDP041,88410bc5-0eea-8034-f5d3-a4615dd494a6,3,3,
"Principles of Accounting II","<p>Nam tincidunt erat vehicula orci accumsan placerat. Nullam scelerisque nunc fringilla eros elementum venenatis. Nullam posuere, magna quis congue lobortis, lorem libero pharetra lectus, a tempor enim velit sit amet nibh. Donec varius congue facilisis. Curabitur ultricies, diam ut venenatis consectetur, turpis leo pretium nulla, vel porttitor tellus velit eget ante. Ut tincidunt ac purus eget suscipit. Fusce eget justo commodo, tincidunt sapien et, gravida orci. Duis vestibulum purus ligula, feugiat viverra nibh tempus vitae. Donec egestas fringilla dignissim. Aenean imperdiet mi vel hendrerit feugiat. Nulla eu hendrerit ligula. Vivamus sed dolor nec metus viverra tincidunt. Quisque ornare nunc ac iaculis ultrices. Aenean ut gravida tortor, a tempor leo.</p>",,"Department of Computer Science",DDP065,88410bc5-0eea-8034-f5d3-a4615dd494a6,3,3,
"Programming Laboratory","<p>Sed dictum commodo lobortis. Mauris dui libero, vulputate in viverra sed, vulputate sit amet nibh. Quisque luctus condimentum nunc vel porttitor. Cras viverra enim elit, nec faucibus ligula laoreet at. Nunc fermentum laoreet ornare. Suspendisse vitae hendrerit quam, vitae interdum ipsum. Praesent ac sagittis massa. Vivamus sed libero rutrum, scelerisque augue ac, vestibulum nisi. Praesent lacinia velit quis pulvinar sodales. Aenean varius turpis ac augue mollis congue. Nulla et fringilla tortor. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Aenean placerat blandit leo ut laoreet. Morbi egestas libero quis metus porta molestie. Etiam nec leo adipiscing, elementum erat a, lobortis enim. Quisque quis dictum libero, a faucibus urna.</p>",,"Department of Computer Science",DDP005,89774461-9a05-ce04-7591-49f84542cc9c,3,3,
"Programming Laboratory II","<p>Integer molestie odio ac nunc porta, non feugiat sapien condimentum. Donec id dui venenatis, euismod leo nec, viverra est. Suspendisse elementum risus vitae nulla vestibulum, nec consectetur neque feugiat. Donec in mattis elit. Vestibulum sit amet nunc non nibh faucibus euismod ut in ante. Duis eu condimentum lacus, id gravida dui. Mauris aliquet nunc ante, ac hendrerit lacus aliquam et. Fusce et iaculis tortor, eget imperdiet magna.</p>",,"Department of Computer Science",DDP025,89774461-9a05-ce04-7591-49f84542cc9c,3,3,
"Programming Practice and Techniques","<p>Donec at sagittis leo. Vestibulum eleifend mi nulla, id tincidunt dolor tincidunt sed. Mauris eu iaculis ipsum. Morbi vitae tempus felis. Praesent elementum dignissim dolor. In dictum egestas nulla a pharetra. Ut luctus, elit a malesuada egestas, mi dui blandit purus, eget lobortis purus diam a nisl. Aenean non eros erat.</p>",,"Department of Computer Science",DDP042,88410bc5-0eea-8034-f5d3-a4615dd494a6,3,3,